name,lat,lon
Singapore General Hospital,1.2795,103.8352
Tan Tock Seng Hospital,1.3214,103.8462
National University Hospital,1.2942,103.7834
Changi General Hospital,1.3404,103.9497
Khoo Teck Puat Hospital,1.4244,103.8385
Sengkang General Hospital,1.3954,103.8936
Ng Teng Fong General Hospital,1.333,103.7472
Alexandra Hospital,1.2894,103.8009
KK Women's & Children's Hospital,1.3092,103.8453
Woodlands Health Campus,1.4401,103.7863
