PA,SZ,senior_pop_2025,total_pop_2025,aging_index_2025,senior_pop_2015,senior_pop_2020,senior_growth_rate,infra_count_weighted,infra_density,dist_nearest_hospital_km,dist_nearest_poly_km,demand_supply_ratio,cluster_id,cluster_label,cluster_color
Ang Mo Kio,Yio Chu Kang West,5890,24150,0.24389233954451345,3640.0,4730,0.049304151479462766,9.0,0.36511156186612576,4.850150041295016,6.307812947477066,23.00672157574068,0,Well-Served,#1A7A3C
Bedok,Bayshore,1230,8250,0.14909090909090908,710.0,940,0.056488262095732544,1.0,0.11428571428571428,3.276857863461624,2.5777517223743036,13.214636010015258,0,Well-Served,#1A7A3C
Bedok,Bedok North,20450,80400,0.2543532338308458,13180.0,16710,0.044907364777401204,27.0,0.3337453646477132,1.9215233853026794,0.5842792121461791,68.00837084633903,0,Well-Served,#1A7A3C
Bedok,Bedok Reservoir,4690,25010,0.1875249900039984,2630.0,3650,0.05955061871636502,5.0,0.1960015680125441,2.495251188224361,1.5345303962196635,27.848957378298273,0,Well-Served,#1A7A3C
Bedok,Bedok South,12280,48220,0.2546661136457901,8450.0,10200,0.038087988129197115,5.0,0.10262725779967159,2.019552805974882,1.7865805913708885,136.6152564694863,0,Well-Served,#1A7A3C
Bedok,Frankel,6630,35010,0.1893744644387318,4900.0,5880,0.030698739297498667,7.0,0.19712756969867645,4.709511370968751,1.5627433478627928,42.85084307823624,0,Well-Served,#1A7A3C
Bedok,Kaki Bukit,8490,34960,0.24284897025171626,4910.0,6580,0.056288665966775175,1.0,0.02820078962210942,4.606206763437786,2.8461290592215605,378.4408707357965,2,Emerging Pressure,#D4A017
Bedok,Kembangan,9440,35580,0.2653175941540191,6120.0,7900,0.0442922553536651,11.0,0.3048780487804878,4.020875582912326,1.6710028525465639,38.58201180834122,0,Well-Served,#1A7A3C
Bedok,Siglap,1920,7510,0.255659121171771,1480.0,1720,0.02637000441876891,2.0,0.24968789013732834,4.6261854531363875,2.229720701634819,9.931011338819799,0,Well-Served,#1A7A3C
Bishan,Bishan East,6930,27390,0.25301204819277107,3970.0,5540,0.057290360739149726,4.0,0.14342058085335246,3.2544003756156283,4.889061354855233,62.696657891541385,0,Well-Served,#1A7A3C
Bishan,Marymount,5960,28920,0.20608575380359612,3280.0,4510,0.061542146321601265,7.0,0.23793337865397687,3.5605747819005575,6.1190521121682915,33.912695694878735,0,Well-Served,#1A7A3C
Bishan,Upper Thomson,7060,31590,0.22348844571066792,5020.0,6020,0.03468963458395602,4.0,0.12464942349641632,4.0720421180933455,7.339721256221327,79.73131843394226,0,Well-Served,#1A7A3C
Bukit Batok,Brickworks,2800,31000,0.09032258064516129,0.0,1050,0.0,7.0,0.2222222222222222,2.5470159989781855,0.7542958331837787,14.415146837862759,0,Well-Served,#1A7A3C
Bukit Batok,Bukit Batok Central,5740,27180,0.21118469462840322,2900.0,4190,0.07065953596208119,13.0,0.46965317919075145,1.6683980202698372,0.5160277069570165,13.399176492194217,0,Well-Served,#1A7A3C
Bukit Batok,Bukit Batok East,3070,11850,0.2590717299578059,1560.0,2380,0.07004336322780147,11.0,0.8906882591093118,2.1038696874977076,1.1396400727937106,3.922175859778778,0,Well-Served,#1A7A3C
Bukit Batok,Bukit Batok South,2450,14340,0.1708507670850767,1050.0,1710,0.08842291989017026,1.0,0.0673854447439353,1.7254225217966734,1.8391933522661557,40.80945307945047,0,Well-Served,#1A7A3C
Bukit Batok,Bukit Batok West,3110,14250,0.21824561403508771,1650.0,2480,0.06543668057111796,9.0,0.6101694915254238,1.783189548931477,0.7089248466361167,5.6495045185218125,0,Well-Served,#1A7A3C
Bukit Batok,Gombak,1890,9800,0.19285714285714287,1190.0,1560,0.04734914926430567,0.0,0.0,3.951383887067533,1.9974696728738968,1889.9999999999998,1,High Pressure,#C0392B
Bukit Batok,Guilin,2460,12800,0.1921875,1260.0,1900,0.0691938602600799,4.0,0.3007518796992481,2.723956450928132,0.9115276045944349,9.48052719176816,0,Well-Served,#1A7A3C
Bukit Batok,Hillview,3530,20670,0.17077890662796325,1710.0,2540,0.07517178632256605,2.0,0.09447331128956069,3.132404213337107,1.6905214706887288,44.542921631479395,0,Well-Served,#1A7A3C
Bukit Batok,Hong Kah North,5620,24670,0.2278070531009323,2730.0,4100,0.0748735271233898,7.0,0.278108859753675,3.18089353365513,1.0672499900161654,23.96624168391303,0,Well-Served,#1A7A3C
Bukit Merah,Alexandra Hill,3710,12790,0.29007036747458953,3030.0,3450,0.020453285071361904,5.0,0.3762227238525207,1.0353094721020122,0.8951256229910179,10.60605126949735,0,Well-Served,#1A7A3C
Bukit Merah,Alexandra North,240,3060,0.0784313725490196,10.0,130,0.37410881031663723,0.0,0.0,2.2078686808001935,1.1190527986802887,240.0,2,Emerging Pressure,#D4A017
Bukit Merah,Bukit Ho Swee,4020,13340,0.30134932533733133,3290.0,3670,0.020241571220656285,5.0,0.36127167630057805,1.2145557763961972,1.3137189783166054,12.204481774613038,0,Well-Served,#1A7A3C
