name,lat,lon
Mujahidin Mosque,1.2981305776015728,103.80095202406943
Singapore Pools (Lengkok Bahru),1.2890750681861078,103.81531843323782
Singapore Pools (Bukit Merah Betting Centre),1.283317220460624,103.81886310440366
Singapore Pools (New Upper Changi),1.3233383628160953,103.93420727149038
Singapore Pools (Ang Mo Kio N2),1.3684464402391212,103.84451626055326
Singapore Pools (Ang Mo Kio N4),1.3674790139574116,103.855967138976
Singapore Pools (Ang Mo Kio N2A),1.3674940567223277,103.83928450965377
Singapore Pools (Ang Mo Kio N7),1.3727835850202363,103.84644830632122
Singapore Pools (Ang Mo Kio N6),1.3805364663021387,103.84106833244284
Sushi Express @ Hougang Mall (Malls of Frasers Property Singapore),1.3724949383609815,103.89377556259053
Customer Service Counter @ Hougang Mall (Malls of Frasers Property Singapore),1.3724949383609815,103.89377556259053
Nee Soon South Zone B Residents' Corner (RC),1.4218392054280682,103.83276516199881
Nee Soon South Zone C Residents' Corner (RC),1.417900673623131,103.83134532740124
SASCO Active Ageing Centre (AAC) @ Khatib,1.4178192924883102,103.83267718576944
Nee Soon South Zone D Residents' Corner (RC),1.414735356009204,103.83470373208107
Nee Soon South Wellness Centre,1.4158179957162702,103.83398307340323
Sheng Siong Supermarket,1.416018804693768,103.83500076644259
Nee Soon South Zone E Residents' Corner (RC),1.4176703434364035,103.83851510229152
Nee Soon South Zone F Residents' Corner (RC),1.4138233217980063,103.83733832486823
Nee Soon South Zone H Residents' Corner (RC),1.4142910386600924,103.8398399366943
Nee Soon South Zone G Residents' Corner (RC),1.419237544511111,103.84422792905214
Nee Soon South Community Club (CC),1.4149736775008097,103.83487980863578
Khatib MRT Station (NS14),1.4173833701541259,103.83297990863721
Springleaf MRT Station (TE4),1.397581060907215,103.81785694961954
NTUC FairPrice,1.4169604986778326,103.83534778750929
Lentor MRT Station (TE5),1.3855065793288235,103.83574380991212
Ee Clinic,1.3708320282204995,103.84354699056409
Keystone Clinic and Surgery,1.3799268205147384,103.84143237250566
Lions Befrienders Active Ageing Centre (AAC) @Tampines 499C,1.3595402762590856,103.95610883813035
Lions Befrienders Active Ageing Centre (AAC) @Tampines 494E,1.36421531539101,103.95351120197469
Sheng Siong Supermarket,1.3552264709913935,103.93162625447276
Tampines West MRT Station (DT31),1.34551530530126,103.93843697135364
Bata @ Century Square (Malls of Frasers Property Singapore),1.3523682956003416,103.94381230243515
Starbucks @ Century Square (Malls of Frasers Property Singapore),1.3523682956003416,103.94381230243515
Starbucks @ Eastpoint Mall (Malls of Frasers Property Singapore),1.3427059232638947,103.95302461792978
Challenger @ Eastpoint Mall (Malls of Frasers Property Singapore),1.3427059232638947,103.95302461792978
Customer Service Counter @ Eastpoint Mall (Malls of Frasers Property Singapore),1.3427059232638947,103.95302461792978
Eu Yan Sang @ Hougang Mall (Malls of Frasers Property Singapore),1.3724949383609815,103.89377556259053
Bata @ Hougang Mall (Malls of Frasers Property Singapore),1.3724949383609815,103.89377556259053
Challenger @ Hougang Mall (Malls of Frasers Property Singapore),1.3724949383609815,103.89377556259053
Pet Lovers Centre @ Hougang Mall (Malls of Frasers Property Singapore),1.3724949383609815,103.89377556259053
POPULAR Bookstore @ Hougang Mall (Malls of Frasers Property Singapore),1.3724949383609815,103.89377556259053
Starbucks @ Hougang Mall (Malls of Frasers Property Singapore),1.3724949383609815,103.89377556259053
Promenade MRT Station (DT15),1.2921409263670272,103.86079446980844
Marina Bay MRT Station (CE2),1.2762514639407907,103.85544715648574
Bayfront MRT Station (CE1),1.2818737884902138,103.8590797651326
NTUC FairPrice,1.2851851610383023,103.84494291232797
NTUC FairPrice Finest,1.274934747618531,103.84355241287356
Marina Bay MRT Station (NS27),1.2764102984458012,103.85459552207637
Marina South Pier MRT Station (NS28),1.2710270361781553,103.86244751567331
Bayfront MRT Station (DT16),1.2818737884902138,103.8590797651326
Downtown MRT Station (DT17),1.2794463820997668,103.85284082951381
Telok Ayer MRT Station (DT18),1.2820689477762235,103.84864878094339
Raffles Place MRT Station (EW14),1.2839332621021033,103.85146306663226
Yong-en Care Centre,1.2821163087417617,103.84284562465311
Chinatown MRT Station (DT19),1.284223918806219,103.84514379894712
Tanjong Pagar MRT Station (EW15),1.2765613170674874,103.84572518636581
Shenton Way Terminal (SWT),1.2744863622211264,103.84759492844354
Chinatown MRT Station (NE4),1.2843595927019122,103.84342668159746
Meeting Point@128,1.3378129538417514,103.84433192924303
Woodlands Community Club (CC),1.439669377319885,103.79076149994134
Ahmad Mosque,1.2808727878924089,103.78721527235955
NTUC FairPrice,1.360323323596645,103.95312596511715
Lions Befrienders Active Ageing Centre (AAC) @Tampines 434,1.3592418427318593,103.95161307875492
Better Vision @ Causeway Point (Malls of Frasers Property Singapore),1.436070065168889,103.78598152456577
Cathay @ Causeway Point (Malls of Frasers Property Singapore),1.436070065168889,103.78598152456577
Eu Yan Sang @ Causeway Point (Malls of Frasers Property Singapore),1.436070065168889,103.78598152456577
Metro @ Causeway Point (Malls of Frasers Property Singapore),1.436070065168889,103.78598152456577
OSIM @ Causeway Point (Malls of Frasers Property Singapore),1.436070065168889,103.78598152456577
NTUC FairPrice Finest,1.428987657009099,103.78091697330376
Tanjong Katong MRT Station (TE25),1.2993192572287924,103.89736874215416
Woodleigh Interchange (WDI),1.340101995239368,103.8716578327283
Bayshore MRT Station (TE29),1.3131224833077677,103.94230977719066
Punggol Coast MRT Station (NE18),1.4149273342205788,103.91016638842444
Buangkok Interchange (BKI),1.3829816322433666,103.89272100789816
Allkin Singapore - Allkin Active Ageing Centre (AAC) @ Ang Mo Kio 510,1.3734009260884048,103.84907324419271
Hume MRT Station (DT4),1.3550226428123555,103.7686802869776
Cashew MRT Station (DT2),1.3698154488766083,103.76443921403946
Outram Park MRT Station (NE3),1.2797205940849838,103.83943986248767
NTUC FairPrice,1.275154977517229,103.84239316353793
Maxwell MRT Station (TE18),1.280533298865553,103.84388367030975
Shenton Way MRT Station (TE19),1.2777168281502467,103.85036759652594
Marina Bay MRT Station (TE20),1.2747417319150285,103.85530916798861
Gardens by the Bay MRT Station (TE22),1.278487258964135,103.86745466461196
Ang Mo Kio MRT Station (NS16),1.3699328496675216,103.84955809279764
NTUC FairPrice Xtra,1.2642931680993499,103.822304693489
Harbourfront MRT Station (NE1),1.2653893835118872,103.82153015707534
